country,cnt_per_country_and_6h,pageviews,bounce_rate,Chrome,Safari,Firefox,desktop,mobile,tablet,Macintosh,Windows,Android,iOS,Linux,anomaly_labels,anomaly_scores
India,25,68,0.56,60,12,24,88,12,0,12,52,8,4,24,-1,-0.010561707
India,16,71,0.563,81.25,18.75,0,75,25,0,25,31.25,18.75,6.25,6.25,1,0.080152448
India,10,24,0.8,40,50,0,80,20,0,50,10,20,0,10,-1,-0.041790591
India,16,45,0.625,50,25,18.75,87.5,6.25,6.25,25,62.5,6.25,6.25,0,-1,-0.036725808
India,12,22,0.417,66.667,25,0,83.333,16.667,0,25,50,16.667,0,8.333,1,0.069645818
India,20,50,0.5,70,20,5,90,10,0,20,70,10,0,0,1,0.061874802
India,8,14,0.5,75,12.5,0,62.5,37.5,0,12.5,37.5,25,0,0,1,0.092275925
India,18,28,0.667,66.667,22.222,11.111,83.333,16.667,0,16.667,50,11.111,5.556,5.556,1,0.077998241
India,33,56,0.697,69.697,21.212,6.061,81.818,18.182,0,18.182,48.485,15.152,0,12.121,1,0.088555856
India,23,62,0.565,69.565,21.739,8.696,78.261,21.739,0,34.783,43.478,21.739,0,0,1,0.087542346
India,16,39,0.625,68.75,25,6.25,81.25,12.5,6.25,31.25,37.5,12.5,6.25,12.5,1,0.015179889
India,52,181,0.577,65.385,21.154,9.615,90.385,9.615,0,21.154,63.462,7.692,1.923,5.769,1,0.024385057
India,52,198,0.558,63.462,15.385,19.231,96.154,3.846,0,21.154,63.462,1.923,1.923,11.538,-1,-0.037872346
India,48,133,0.667,72.917,18.75,2.083,83.333,16.667,0,20.833,56.25,16.667,0,4.167,1,0.094121861
India,14,25,0.714,71.429,21.429,0,64.286,35.714,0,21.429,42.857,35.714,0,0,1,0.095670786
India,64,214,0.5,75,9.375,14.062,93.75,6.25,0,17.188,73.438,6.25,0,3.125,-1,-0.016615506
India,79,221,0.506,72.152,11.392,16.456,98.734,1.266,0,21.519,75.949,1.266,0,1.266,-1,-0.07503709
India,30,66,0.633,63.333,13.333,13.333,76.667,20,3.333,23.333,50,20,0,3.333,1,0.068055061
India,9,13,0.667,77.778,11.111,0,77.778,22.222,0,11.111,55.556,22.222,0,11.111,1,0.082113224
India,16,44,0.688,75,12.5,12.5,81.25,12.5,6.25,12.5,68.75,18.75,0,0,1,0.034962881
India,46,99,0.609,80.435,15.217,4.348,84.783,10.87,4.348,17.391,67.391,10.87,4.348,0,1,0.030990311
India,27,58,0.481,70.37,7.407,11.111,74.074,25.926,0,14.815,48.148,18.519,7.407,11.111,1,0.087270952
India,12,34,0.5,91.667,0,8.333,75,25,0,0,66.667,25,0,8.333,1,0.059094365
India,16,27,0.688,62.5,18.75,12.5,81.25,18.75,0,18.75,62.5,18.75,0,0,1,0.063828704
India,28,97,0.571,89.286,3.571,3.571,89.286,10.714,0,14.286,60.714,10.714,0,14.286,1,0.051518655
India,16,38,0.375,75,6.25,12.5,68.75,25,6.25,12.5,50,25,6.25,6.25,1,0.042163721
India,10,31,0.7,30,40,20,100,0,0,40,50,0,0,10,-1,-0.071067443
India,29,91,0.655,86.207,3.448,3.448,89.655,10.345,0,6.897,79.31,10.345,0,3.448,1,0.037171038
India,55,153,0.582,70.909,14.545,9.091,92.727,7.273,0,21.818,67.273,7.273,0,3.636,1,0.040192195
